echo sha,contributor,date,message
f8a656045,Adrien Cassagne,Wed Dec 13 11:26:35 2023 +0100,Merge pull request #179 from gerhardbaer/hotfix/no_aff3ct_tools_global_import
998c9b59e,Gerhard Baer,Tue Dec 12 17:11:22 2023 +0100,cmake: fix installation of wrapper script (aff3ct).
0e330435f,Gerhard Baer,Fri Nov 24 15:24:41 2023 +0100,Decoder_RSC_DB_BCJR_DVB_RCS1: don't import aff3ct::tools globally.
9a5642811,Adrien Cassagne,Fri Dec 8 14:38:27 2023 +0100,Doc: fix readthedoc compilation.
bc531b34d,Adrien Cassagne,Fri Dec 8 14:31:37 2023 +0100,Up. cli.
d339ee8ee,Adrien Cassagne,Fri Dec 8 14:31:12 2023 +0100,Typo.
6960c9048,Adrien Cassagne,Fri Dec 8 14:21:31 2023 +0100,Merge pull request #176 from AsriFox/dvbrcs2
63ec2ab06,Adrien Cassagne,Fri Dec 8 11:24:24 2023 +0100,Merge pull request #178 from gerhardbaer/hotfix/doc_AFF3CT_OVERRIDE_VERSION
ed948b400,Adrien Cassagne,Fri Dec 8 11:23:51 2023 +0100,Merge pull request #177 from gerhardbaer/hotfix/no_trivial_defines
49a4b8461,Gerhard Baer,Fri Nov 10 12:05:09 2023 +0100,doc: check for AFF3CT_OVERRIDE_VERSION.
0ef74f4bf,Gerhard Baer,Wed Nov 15 15:04:29 2023 +0100,Decoder_RSC_BCJR_seq_scan: don't expose preprocessing defines.
3b9c5f42e,AsriFox,Thu Nov 9 13:12:51 2023 +0300,Updated Puncturer_turbo_DB.cpp: - Added code rates 6/7 and 7/8 from EN 301 545-2; - Changed code rate selection from if/else to switch.
641d74bda,AsriFox,Thu Nov 9 12:05:23 2023 +0300,Update Interleaver_core_ARP_DVB_RCS2.cpp: - Added missing cases from EN 301 545-2; - Changed incorrect values for cases 384, 1332 and 1776 (was 1777); - Cases sorted by Waveform ID.
7409f4c17,Adrien Cassagne,Fri Nov 3 16:14:04 2023 +0100,Fix '-Woverloaded-virtual' warnings.
dad588de0,Adrien Cassagne,Fri Nov 3 15:15:43 2023 +0100,CI: Fix ICPC job.
b9e7637b9,Adrien Cassagne,Fri Nov 3 10:15:00 2023 +0100,Up. CLI.
84658f6a3,Adrien Cassagne,Fri Nov 3 10:12:11 2023 +0100,Up. AFF3CT-core.
82d9e30ad,Adrien Cassagne,Wed Jul 12 18:46:05 2023 +0200,Update AFF3CT-core.
257548cfd,Adrien Cassagne,Tue Jul 11 19:22:11 2023 +0200,Update AFF3CT-core.
5119a3c09,Adrien Cassagne,Wed Jun 14 17:20:07 2023 +0200,Do not throw if unaligned memory in NEON.
e253b7fef,Adrien Cassagne,Wed Jun 14 11:20:05 2023 +0200,Fix some compilation warnings.
8643b866a,Adrien Cassagne,Tue Jun 13 14:50:55 2023 +0200,Up. AFF3CT-core.
f9ce82175,Adrien Cassagne,Mon Feb 6 13:48:37 2023 +0100,Up. AFF3CT-core.
c0ba6b8a3,Adrien Cassagne,Mon Feb 6 09:51:28 2023 +0100,Update AFF3CT-core.
22befe79a,Adrien Cassagne,Sun Feb 5 09:58:37 2023 +0100,Update year to 2023.
b12176f0b,Adrien Cassagne,Sun Feb 5 09:53:51 2023 +0100,Add a boolean to disable 'is_done' behavior in the 'Monitor_BFER'.
2a9a20327,Adrien Cassagne,Fri Feb 3 11:16:46 2023 +0100,Up. AFF3CT-core.
4893c1c2f,Adrien Cassagne,Fri Feb 3 10:22:11 2023 +0100,Update AFF3CT-core.
9c1eb9b7c,Adrien Cassagne,Thu Feb 2 14:23:26 2023 +0100,Update AFF3CT headers.
f26f45be9,Adrien Cassagne,Thu Feb 2 12:30:17 2023 +0100,Up. AFF3CT-core.
41301ca25,Adrien Cassagne,Thu Feb 2 12:07:54 2023 +0100,CI: disable macos build.
c543c0dae,Adrien Cassagne,Fri Oct 14 14:57:24 2022 +0200,Use 'runtime' namespace according to AFF3CT-core refactoring.
d90bf33d4,Adrien Cassagne,Fri Oct 14 14:22:00 2022 +0200,CI: try to fix macos build.
7f6e9c3e4,Adrien Cassagne,Fri Oct 14 07:18:04 2022 +0200,CI: fix submodule check.
d837c1b54,Adrien Cassagne,Thu Oct 13 21:59:30 2022 +0200,CI: check aff3ct-core branch.
a64426fac,Adrien Cassagne,Thu Oct 13 15:22:48 2022 +0200,Fix execution errors.
55cf731ae,Adrien Cassagne,Thu Oct 13 14:03:12 2022 +0200,Attempt to fix execution errors.
b953a63d2,Adrien Cassagne,Sun Sep 18 11:03:48 2022 +0200,Up. AFF3CT-core.
f0c7aa42e,Adrien Cassagne,Sat Sep 17 22:30:03 2022 +0200,Adapt AFF3CT code to use AFF3CT-core submodule.
bb649c4b1,Adrien Cassagne,Wed Sep 14 13:11:20 2022 +0200,Merge branch 'master' into development
650bfe1fd,Adrien Cassagne,Wed Sep 14 13:09:53 2022 +0200,Merge pull request #162 from Renlor/patch-2
4c8b8bccf,Justin,Tue Sep 13 15:22:27 2022 -0600,Update CPack config to allow RPMs to be built
a3e63e874,Adrien Cassagne,Sat Sep 10 22:50:22 2022 +0200,Add new socket 'real_K' to 'module::Source' and 'module::Sink'.
7c955aa33,Adrien Cassagne,Fri Sep 9 15:50:22 2022 +0200,Fix pipeline flush.
4b506cd84,Adrien Cassagne,Thu Sep 8 15:18:02 2022 +0200,Add unsigned int support in the 'compute_bytes' function.
ab514f57c,Adrien Cassagne,Mon Sep 5 16:39:10 2022 +0200,Add unsigned integers in task.
33c3b4fb1,Adrien Cassagne,Sat Sep 3 12:19:47 2022 +0200,Add unsigned integers in sockets.
35163fccf,Adrien Cassagne,Thu Apr 21 14:12:35 2022 +0200,Up. MIPP: fix segfault with generic BCJR on macos (apple silicon CPUs).
8fa65a3ca,Adrien Cassagne,Thu Apr 21 10:34:08 2022 +0200,Update the year from 2021 to 2022 for the v3.0.2 release.
01793f383,Adrien Cassagne,Thu Apr 14 09:35:55 2022 +0200,Fix the documentation generation.
f95859e9f,Romain TAJAN,Wed Mar 23 09:14:41 2022 +0100,Fix RS decoder for returning a CWD flag.
3b506a180,Adrien Cassagne,Tue Mar 1 09:27:36 2022 +0100,Add mistune requirement.
65b364fe9,Adrien Cassagne,Mon Feb 28 18:16:09 2022 +0100,Fix a serious bug in the initialization of the tasks graph.
72af2d3f2,Adrien Cassagne,Tue Oct 5 23:28:25 2021 +0200,Fix AZCW simulations.
3a3086287,Adrien Cassagne,Tue Oct 5 23:27:42 2021 +0200,Add new `Socket::operator=(void*)` member.
b2f4720f1,Adrien Cassagne,Tue Oct 5 17:55:29 2021 +0200,Show the static input socket in green in the dot output.
6b327aec1,Adrien Cassagne,Tue Oct 5 17:32:30 2021 +0200,Accept static input sockets (from data ptr instead of output socket).
c67754ebe,Adrien Cassagne,Tue Oct 5 14:52:35 2021 +0200,Improve `tools::Sequence` construction rules.
3503dc748,Adrien Cassagne,Thu Sep 30 14:59:13 2021 +0200,Fix `module::Extractor_RSC`.
9d6e2bb8e,Adrien Cassagne,Thu Sep 30 14:58:30 2021 +0200,Fix members order.
d25713f50,Romain TAJAN,Sun Sep 19 21:01:56 2021 +0200,Allow Switcher select and commute to have different data size and type.
2c821b75e,Romain TAJAN,Sat Sep 11 14:40:56 2021 +0200,Merge branch 'development' of gitlab.inria.fr:fec/aff3ct into development
5326b0db4,Adrien Cassagne,Fri Sep 10 15:59:06 2021 +0200,Disable backtrace on Android NDK.
54f945879,Romain TAJAN,Fri Sep 10 11:49:04 2021 +0200,Merge remote-tracking branch 'origin/fix_ldpc_py_aff3ct' into development
80eb5a706,Adrien Cassagne,Fri Sep 10 11:17:22 2021 +0200,Fix wrong variable name in LDPC decoders when using `-faligned-new`.
4aecfbeeb,Romain TAJAN,Fri Sep 10 10:55:44 2021 +0200,Remove ref for parity check matrix in LDPC decoders.
116eba25e,Jeff,Mon Jul 26 08:45:16 2021 -0400,Removed const from punture and depunture signatures to resolve "passing ‘const aff3ct::module::Puncturer<int, float>’ as ‘this’ argument discards qualifiers [-fpermissive]" compile errors. 	modified:   include/Module/Puncturer/Puncturer.hpp 	modified:   include/Module/Puncturer/Puncturer.hxx
330cd7521,Adrien Cassagne,Tue Jul 6 12:02:03 2021 +0200,Fix a bug in the 'tools::Sequence' `exec_step` method.
626c4821b,Romain TAJAN,Wed Jun 30 15:00:49 2021 +0200,Merge branch 'create_reset_task' into development
